LAT,LON,ER100,ER150,ER_Prob,RP10,RP20,RP50,RP100,RP_Avg,P_D1,P_D2,P_D3,P_D4,Drought_Prob,RP_Prob,Composite_Hazard
24.25,82,0.002,0.0004,0.0012,178.33,221.89,249.52,273.85,230.9,0.1228,0.0351,0.0088,0.0088,0.0439,0.273405436,0.0999
24.25,82.25,0.0009,0.0002,0.0006,143.08,174.75,206.65,229.38,188.46,0.1404,0.0351,0.0088,0.0088,0.0482,0.220463306,0.0856
24.25,82.5,0.0009,0.0002,0.0005,137.36,158.07,172.12,230.24,174.45,0.1491,0.0439,0.0088,0.0088,0.0526,0.202986415,0.0821
24.25,82.75,0.0006,0.0001,0.0004,123.85,158.56,162.81,163.17,152.1,0.1404,0.0614,0.0088,0.0088,0.0548,0.175105722,0.0746
24.25,83,0.0007,0.0001,0.0004,125.62,157.69,189.03,202.49,168.71,0.114,0.0702,0.0439,0.0175,0.0614,0.195826005,0.0834
24.25,83.25,0.0011,0.0002,0.0007,130.83,159.87,200.85,218.79,177.59,0.1316,0.0614,0.0351,0.0088,0.0592,0.206903434,0.086
24.25,83.5,0.0009,0.0001,0.0005,129.97,149.6,193.62,205.5,169.67,0.1404,0.0702,0.0263,0.0088,0.0614,0.197023564,0.0838
24.25,83.75,0.0013,0.0002,0.0008,147.47,181.36,210.07,239.65,194.64,0.1316,0.0351,0.0263,0.0088,0.0504,0.228172598,0.0889
24.25,84,0.001,0.0002,0.0006,145.82,172.57,221.28,254.98,198.66,0.1404,0.0614,0.0175,0.0088,0.057,0.233187381,0.0929
24.25,84.25,0.0012,0.0003,0.0007,149.11,184.83,246,293.92,218.47,0.1316,0.0526,0.0088,0.0088,0.0504,0.25789953,0.0977
24.25,84.5,0.0013,0.0005,0.0009,181.85,227.45,323.13,331.48,265.98,0.1404,0.0526,0.0088,0.0088,0.0526,0.317166274,0.1165
24.25,84.75,0.0012,0.0003,0.0008,153.95,192.12,261.41,285.08,223.14,0.1491,0.0351,0.0088,0.0088,0.0504,0.26372516,0.0995
24.25,85,0.0013,0.0002,0.0008,153.92,180,212.4,229.01,193.83,0.1316,0.0526,0.0175,0.0088,0.0526,0.227162157,0.0894
24.25,85.25,0.0013,0.0003,0.0008,155.57,193.66,384.4,422.39,289,0.1491,0.0439,0.0175,0.0088,0.0548,0.345882764,0.1259
24.25,85.5,0.0007,0.0001,0.0004,135.91,159.67,200.14,200.26,174,0.1316,0.0439,0.0088,0.0088,0.0482,0.202425059,0.0801
24.25,85.75,0.001,0.0001,0.0005,135.34,176.32,196.46,214.07,180.55,0.1491,0.0263,0.0088,0.0088,0.0482,0.210595911,0.0826
24.25,86,0.0011,0.0002,0.0007,148.83,186.26,291.38,329.21,238.92,0.114,0.0439,0.0175,0.0088,0.0461,0.283410052,0.1037
24.25,86.25,0.0011,0.0002,0.0006,147.14,184.25,220.61,227.57,194.9,0.1667,0.0614,0.0263,0.0088,0.0658,0.228496937,0.095
24.25,86.5,0.0018,0.0004,0.0011,172.84,202.12,372.44,375.35,280.69,0.1667,0.0702,0.0263,0.0088,0.068,0.335516385,0.1282
24.25,86.75,0.0013,0.0004,0.0008,174.11,215.64,342.97,391.59,281.08,0.1667,0.0351,0.0175,0.0088,0.057,0.336002894,0.1238
24.25,87,0.0018,0.0004,0.0011,164.69,208.6,280.82,369.23,255.83,0.1404,0.0439,0.0088,0.0088,0.0504,0.304504572,0.1118
24.25,87.25,0.0015,0.0003,0.0009,143.85,220.17,254.78,352.82,242.9,0.1579,0.0439,0.0088,0.0088,0.0548,0.288374936,0.1087
24.25,87.5,0.0019,0.0006,0.0012,179.52,219.2,298.36,307.05,251.03,0.1316,0.0351,0.0088,0.0088,0.0461,0.298516772,0.1084
24.25,87.75,0.0014,0.0004,0.0009,156.5,190.1,204.77,216.76,192.03,0.1404,0.0614,0.0263,0.0088,0.0592,0.224916732,0.0914
24.25,88,0.0014,0.0003,0.0008,157.82,184.7,211.34,216.14,192.5,0.1491,0.0614,0.0351,0.0175,0.0658,0.225503038,0.0942
24.25,88.25,0.001,0.0002,0.0006,147.68,167.12,176.76,216.35,176.98,0.1404,0.0702,0.0351,0.0175,0.0658,0.206142485,0.0883
24.25,88.5,0.0008,0.0002,0.0005,137.81,168.32,182.89,215.38,176.1,0.1404,0.0789,0.0263,0.0175,0.0658,0.205044721,0.088
24.25,88.75,0,0,0,,,,,,0,0,0,0,0,,
24.25,89,0,0,0,,,,,,0,0,0,0,0,,
24.25,89.25,0,0,0,,,,,,0,0,0,0,0,,
24.25,89.5,0,0,0,,,,,,0,0,0,0,0,,
24.25,89.75,0,0,0,,,,,,0,0,0,0,0,,
